#strcture_id,color(hex)
10864,f2f1f0
10865,f2f1f0
10866,f2f1f0
10867,f2f1f0
10868,f2f1f0
10869,f2f1f0
10870,f2f1f0
10871,f2f1f0
10872,f2f1f0
10873,f2f1f0
10874,f2f1f0
10875,f2f1f0
10876,f2f1f0
10185,f2f1f0
10186,f2f1f0
266441105,f2f1f0
266441109,f2f1f0
266441113,f2f1f0
266441117,f2f1f0
266441121,f2f1f0
266441125,f2f1f0
266441129,f2f1f0
266441133,f2f1f0
266441137,f2f1f0
266441141,f2f1f0
266441145,f2f1f0
266441149,f2f1f0
266441153,f2f1f0
266441157,f2f1f0
266441161,f2f1f0
266441165,f2f1f0
266441169,f2f1f0
266441173,f2f1f0
266441177,f2f1f0
266441181,f2f1f0
266441185,f2f1f0
10187,f2f1f0
10188,f2f1f0
10883,f2f1f0
10884,f2f1f0
10885,f2f1f0
10886,f2f1f0
10887,f2f1f0
10888,f2f1f0
10189,f2f1f0
10889,f2f1f0
10890,f2f1f0
10891,f2f1f0
10892,f2f1f0
10893,f2f1f0
10894,f2f1f0
266441189,f2f1f0
266441193,f2f1f0
266441197,f2f1f0
